name,category
œufs,"Frais (laitages, œufs, fromage)"
aubergines,"Fruits & légumes"
"viande hachée","Viande & poisson"
oignons,"Fruits & légumes"
avocat,"Fruits & légumes"
mayonnaise,"Épicerie (sec, conserves, pain)"
brocolis,"Fruits & légumes"
"pain à burger","Épicerie (sec, conserves, pain)"
"steak haché","Viande & poisson"
fromage,"Frais (laitages, œufs, fromage)"
"pommes de terre","Fruits & légumes"
cabillaud,"Viande & poisson"
"crème fraîche","Frais (laitages, œufs, fromage)"
courgettes,"Fruits & légumes"
"calamars ou seiches","Viande & poisson"
"pain de mie","Épicerie (sec, conserves, pain)"
jambon,"Viande & poisson"
"fromage râpé","Frais (laitages, œufs, fromage)"
"salade verte","Fruits & légumes"
endives,"Fruits & légumes"
béchamel,"Épicerie (sec, conserves, pain)"
épinards,"Fruits & légumes"
"escalope de dinde","Viande & poisson"
moutarde,"Épicerie (sec, conserves, pain)"
"pâte à flammekueche","Épicerie (sec, conserves, pain)"
lardons,"Viande & poisson"
poireaux,"Fruits & légumes"
chou-fleur,"Fruits & légumes"
"pâtes à lasagne","Épicerie (sec, conserves, pain)"
"sauce tomate","Épicerie (sec, conserves, pain)"
nems,"Épicerie (sec, conserves, pain)"
choucroute,"Épicerie (sec, conserves, pain)"
comté,"Frais (laitages, œufs, fromage)"
pâtes,"Épicerie (sec, conserves, pain)"
parmesan,"Frais (laitages, œufs, fromage)"
champignons,"Fruits & légumes"
crevettes,"Viande & poisson"
ail,"Fruits & légumes"
persil,"Fruits & légumes"
"haricots verts","Fruits & légumes"
"poisson blanc","Viande & poisson"
"poisson pané","Viande & poisson"
poivrons,"Fruits & légumes"
poulet,"Viande & poisson"
citron,"Fruits & légumes"
tomates,"Fruits & légumes"
"riz ou semoule","Épicerie (sec, conserves, pain)"
ravioli,"Frais (laitages, œufs, fromage)"
riz,"Épicerie (sec, conserves, pain)"
"petits pois","Fruits & légumes"
carottes,"Fruits & légumes"
"rôti de bœuf","Viande & poisson"
"rôti de porc","Viande & poisson"
"salade romaine","Fruits & légumes"
concombre,"Fruits & légumes"
feta,"Frais (laitages, œufs, fromage)"
saumon,"Viande & poisson"
"saumon ou truite fumé","Viande & poisson"
seiches,"Viande & poisson"
tofu,"Frais (laitages, œufs, fromage)"
mozzarella,"Frais (laitages, œufs, fromage)"
lentilles,"Épicerie (sec, conserves, pain)"
pain,"Épicerie (sec, conserves, pain)"
semoule,"Épicerie (sec, conserves, pain)"
"nouilles chinoises","Épicerie (sec, conserves, pain)"
melon,"Fruits & légumes"
menthe,"Fruits & légumes"
philadelphia,"Frais (laitages, œufs, fromage)"
gyozas,"Épicerie (sec, conserves, pain)"
"légumes variés","Fruits & légumes"
